x,y,z
 -5.0000,   3.3000,  35.8900
 -5.0000,   3.4000,  36.5600
 -5.0000,   3.5000,  37.2500
 -5.0000,   3.6000,  37.9600
 -5.0000,   3.7000,  38.6900
 -5.0000,   3.8000,  39.4400
 -5.0000,   3.9000,  40.2100
 -5.0000,   4.0000,  41.0000
 -5.0000,   4.1000,  41.8100
 -5.0000,   4.2000,  42.6400
 -5.0000,   4.3000,  43.4900
 -5.0000,   4.4000,  44.3600
 -5.0000,   4.5000,  45.2500
 -5.0000,   4.6000,  46.1600
 -5.0000,   4.7000,  47.0900
 -5.0000,   4.8000,  48.0400
 -5.0000,   4.9000,  49.0100
 -4.9000,  -5.0000,  49.0100
 -4.9000,  -4.9000,  48.0200
 -4.9000,  -4.8000,  47.0500
 -4.9000,  -4.7000,  46.1000
 -4.9000,  -4.6000,  45.1700
 -4.9000,  -4.5000,  44.2600
 -4.9000,  -4.4000,  43.3700
 -4.9000,  -4.3000,  42.5000
 -4.9000,  -4.2000,  41.6500
 -4.9000,  -4.1000,  40.8200
 -4.9000,  -4.0000,  40.0100
 -4.9000,  -3.9000,  39.2200
 -4.9000,  -3.8000,  38.4500
 -4.9000,  -3.7000,  37.7000
 -4.9000,  -3.6000,  36.9700
 -4.9000,  -3.5000,  36.2600
 -4.9000,  -3.4000,  35.5700
 -4.9000,  -3.3000,  34.9000
 -4.9000,  -3.2000,  34.2500
 -4.9000,  -3.1000,  33.6200
 -4.9000,  -3.0000,  33.0100
 -4.9000,  -2.9000,  32.4200
 -4.9000,  -2.8000,  31.8500
 -4.9000,  -2.7000,  31.3000
 -4.9000,  -2.6000,  30.7700
 -4.9000,  -2.5000,  30.2600
 -4.9000,  -2.4000,  29.7700
 -4.9000,  -2.3000,  29.3000
 -4.9000,  -2.2000,  28.8500
 -4.9000,  -2.1000,  28.4200
 -4.9000,  -2.0000,  28.0100
 -4.9000,  -1.9000,  27.6200
 -4.9000,  -1.8000,  27.2500
 -4.9000,  -1.7000,  26.9000
 -4.9000,  -1.6000,  26.5700
 -4.9000,  -1.5000,  26.2600
 -4.9000,  -1.4000,  25.9700
 -4.9000,  -1.3000,  25.7000
 -4.9000,  -1.2000,  25.4500
 -4.9000,  -1.1000,  25.2200
 -4.9000,  -1.0000,  25.0100
 -4.9000,  -0.9000,  24.8200
 -4.9000,  -0.8000,  24.6500
 -4.9000,  -0.7000,  24.5000
 -4.9000,  -0.6000,  24.3700
 -4.9000,  -0.5000,  24.2600
 -4.9000,  -0.4000,  24.1700
 -4.9000,  -0.3000,  24.1000
 -4.9000,  -0.2000,  24.0500
 -4.9000,  -0.1000,  24.0200
 -4.9000,   0.0000,  24.0100
 -4.9000,   0.1000,  24.0200
 -4.9000,   0.2000,  24.0500
 -4.9000,   0.3000,  24.1000
 -4.9000,   0.4000,  24.1700
 -4.9000,   0.5000,  24.2600
 -4.9000,   0.6000,  24.3700
 -4.9000,   0.7000,  24.5000
 -4.9000,   0.8000,  24.6500
 -4.9000,   0.9000,  24.8200
 -4.9000,   1.0000,  25.0100
 -4.9000,   1.1000,  25.2200
 -4.9000,   1.2000,  25.4500
 -4.9000,   1.3000,  25.7000
 -4.9000,   1.4000,  25.9700
 -4.9000,   1.5000,  26.2600
 -4.9000,   1.6000,  26.5700
 -4.9000,   1.7000,  26.9000
 -4.9000,   1.8000,  27.2500
 -4.9000,   1.9000,  27.6200
 -4.9000,   2.0000,  28.0100
 -4.9000,   2.1000,  28.4200
 -4.9000,   2.2000,  28.8500
 -4.9000,   2.3000,  29.3000
 -4.9000,   2.4000,  29.7700
 -4.9000,   2.5000,  30.2600
 -4.9000,   2.6000,  30.7700
 -4.9000,   2.7000,  31.3000
 -4.9000,   2.8000,  31.8500
 -4.9000,   2.9000,  32.4200
 -4.9000,   3.0000,  33.0100
 -4.9000,   3.1000,  33.6200
 -4.9000,   3.2000,  34.2500
 -4.9000,   3.3000,  34.9000
 -4.9000,   3.4000,  35.5700
 -4.9000,   3.5000,  36.2600
 -4.9000,   3.6000,  36.9700
 -4.9000,   3.7000,  37.7000
 -4.9000,   3.8000,  38.4500
 -4.9000,   3.9000,  39.2200
 -4.9000,   4.0000,  40.0100
 -4.9000,   4.1000,  40.8200
 -4.9000,   4.2000,  41.6500
 -4.9000,   4.3000,  42.5000
 -4.9000,   4.4000,  43.3700
 -4.9000,   4.5000,  44.2600
 -4.9000,   4.6000,  45.1700
 -4.9000,   4.7000,  46.1000
 -4.9000,   4.8000,  47.0500
 -4.9000,   4.9000,  48.0200
 -4.8000,  -5.0000,  48.0400
 -4.8000,  -4.9000,  47.0500
 -4.8000,  -4.8000,  46.0800
 -4.8000,  -4.7000,  45.1300
 -4.8000,  -4.6000,  44.2000
 -4.8000,  -4.5000,  43.2900
 -4.8000,  -4.4000,  42.4000
 -4.8000,  -4.3000,  41.5300
 -4.8000,  -4.2000,  40.6800
 -4.8000,  -4.1000,  39.8500
 -4.8000,  -4.0000,  39.0400
 -4.8000,  -3.9000,  38.2500
 -4.8000,  -3.8000,  37.4800
 -4.8000,  -3.7000,  36.7300
 -4.8000,  -3.6000,  36.0000
 -4.8000,  -3.5000,  35.2900
 -4.8000,  -3.4000,  34.6000
 -4.8000,  -3.3000,  33.9300
 -4.8000,  -3.2000,  33.2800
 -4.8000,  -3.1000,  32.6500
 -4.8000,  -3.0000,  32.0400
 -4.8000,  -2.9000,  31.4500
 -4.8000,  -2.8000,  30.8800
 -4.8000,  -2.7000,  30.3300
 -4.8000,  -2.6000,  29.8000
 -4.8000,  -2.5000,  29.2900
 -4.8000,  -2.4000,  28.8000
 -4.8000,  -2.3000,  28.3300
 -4.8000,  -2.2000,  27.8800
 -4.8000,  -2.1000,  27.4500
 -4.8000,  -2.0000,  27.0400
 -4.8000,  -1.9000,  26.6500
 -4.8000,  -1.8000,  26.2800
 -4.8000,  -1.7000,  25.9300
 -4.8000,  -1.6000,  25.6000
 -4.8000,  -1.5000,  25.2900
 -4.8000,  -1.4000,  25.0000
 -4.8000,  -1.3000,  24.7300
 -4.8000,  -1.2000,  24.4800
 -4.8000,  -1.1000,  24.2500
 -4.8000,  -1.0000,  24.0400
 -4.8000,  -0.9000,  23.8500
 -4.8000,  -0.8000,  23.6800
 -4.8000,  -0.7000,  23.5300
 -4.8000,  -0.6000,  23.4000
 -4.8000,  -0.5000,  23.2900
 -4.8000,  -0.4000,  23.2000
 -4.8000,  -0.3000,  23.1300
 -4.8000,  -0.2000,  23.0800
 -4.8000,  -0.1000,  23.0500
 -4.8000,   0.0000,  23.0400
 -4.8000,   0.1000,  23.0500
 -4.8000,   0.2000,  23.0800
 -4.8000,   0.3000,  23.1300
 -4.8000,   0.4000,  23.2000
 -4.8000,   0.5000,  23.2900
 -4.8000,   0.6000,  23.4000
 -4.8000,   0.7000,  23.5300
 -4.8000,   0.8000,  23.6800
 -4.8000,   0.9000,  23.8500
 -4.8000,   1.0000,  24.0400
 -4.8000,   1.1000,  24.2500
 -4.8000,   1.2000,  24.4800
 -4.8000,   1.3000,  24.7300
 -4.8000,   1.4000,  25.0000
 -4.8000,   1.5000,  25.2900
 -4.8000,   1.6000,  25.6000
 -4.8000,   1.7000,  25.9300
 -4.8000,   1.8000,  26.2800
 -4.8000,   1.9000,  26.6500
 -4.8000,   2.0000,  27.0400
 -4.8000,   2.1000,  27.4500
 -4.8000,   2.2000,  27.8800
 -4.8000,   2.3000,  28.3300
 -4.8000,   2.4000,  28.8000
 -4.8000,   2.5000,  29.2900
 -4.8000,   2.6000,  29.8000
 -4.8000,   2.7000,  30.3300
 -4.8000,   2.8000,  30.8800
 -4.8000,   2.9000,  31.4500
 -4.8000,   3.0000,  32.0400
 -4.8000,   3.1000,  32.6500
 -4.8000,   3.2000,  33.2800
 -4.8000,   3.3000,  33.9300
 -4.8000,   3.4000,  34.6000
 -4.8000,   3.5000,  35.2900
 -4.8000,   3.6000,  36.0000
 -4.8000,   3.7000,  36.7300
 -4.8000,   3.8000,  37.4800
 -4.8000,   3.9000,  38.2500
 -4.8000,   4.0000,  39.0400
 -4.8000,   4.1000,  39.8500
 -4.8000,   4.2000,  40.6800
 -4.8000,   4.3000,  41.5300
 -4.8000,   4.4000,  42.4000
 -4.8000,   4.5000,  43.2900
 -4.8000,   4.6000,  44.2000
 -4.8000,   4.7000,  45.1300
 -4.8000,   4.8000,  46.0800
 -4.8000,   4.9000,  47.0500
 -4.7000,  -5.0000,  47.0900
 -4.7000,  -4.9000,  46.1000
 -4.7000,  -4.8000,  45.1300
 -4.7000,  -4.7000,  44.1800
 -4.7000,  -4.6000,  43.2500
 -4.7000,  -4.5000,  42.3400
 -4.7000,  -4.4000,  41.4500
 -4.7000,  -4.3000,  40.5800
 -4.7000,  -4.2000,  39.7300
 -4.7000,  -4.1000,  38.9000
 -4.7000,  -4.0000,  38.0900
 -4.7000,  -3.9000,  37.3000
 -4.7000,  -3.8000,  36.5300
 -4.7000,  -3.7000,  35.7800
 -4.7000,  -3.6000,  35.0500
 -4.7000,  -3.5000,  34.3400
 -4.7000,  -3.4000,  33.6500
 -4.7000,  -3.3000,  32.9800
 -4.7000,  -3.2000,  32.3300
 -4.7000,  -3.1000,  31.7000
 -4.7000,  -3.0000,  31.0900
 -4.7000,  -2.9000,  30.5000
 -4.7000,  -2.8000,  29.9300
 -4.7000,  -2.7000,  29.3800
 -4.7000,  -2.6000,  28.8500
 -4.7000,  -2.5000,  28.3400
 -4.7000,  -2.4000,  27.8500
 -4.7000,  -2.3000,  27.3800
 -4.7000,  -2.2000,  26.9300
 -4.7000,  -2.1000,  26.5000
 -4.7000,  -2.0000,  26.0900
 -4.7000,  -1.9000,  25.7000
 -4.7000,  -1.8000,  25.3300
 -4.7000,  -1.7000,  24.9800
 -4.7000,  -1.6000,  24.6500
 -4.7000,  -1.5000,  24.3400
 -4.7000,  -1.4000,  24.0500
 -4.7000,  -1.3000,  23.7800
 -4.7000,  -1.2000,  23.5300
 -4.7000,  -1.1000,  23.3000
 -4.7000,  -1.0000,  23.0900
 -4.7000,  -0.9000,  22.9000
 -4.7000,  -0.8000,  22.7300
 -4.7000,  -0.7000,  22.5800
 -4.7000,  -0.6000,  22.4500
 -4.7000,  -0.5000,  22.3400
 -4.7000,  -0.4000,  22.2500
 -4.7000,  -0.3000,  22.1800
 -4.7000,  -0.2000,  22.1300
 -4.7000,  -0.1000,  22.1000
 -4.7000,   0.0000,  22.0900
 -4.7000,   0.1000,  22.1000
 -4.7000,   0.2000,  22.1300
 -4.7000,   0.3000,  22.1800
 -4.7000,   0.4000,  22.2500
 -4.7000,   0.5000,  22.3400
 -4.7000,   0.6000,  22.4500
 -4.7000,   0.7000,  22.5800
 -4.7000,   0.8000,  22.7300
 -4.7000,   0.9000,  22.9000
 -4.7000,   1.0000,  23.0900
 -4.7000,   1.1000,  23.3000
 -4.7000,   1.2000,  23.5300
 -4.7000,   1.3000,  23.7800
 -4.7000,   1.4000,  24.0500
 -4.7000,   1.5000,  24.3400
 -4.7000,   1.6000,  24.6500
 -4.7000,   1.7000,  24.9800
 -4.7000,   1.8000,  25.3300
 -4.7000,   1.9000,  25.7000
 -4.7000,   2.0000,  26.0900
 -4.7000,   2.1000,  26.5000
 -4.7000,   2.2000,  26.9300
 -4.7000,   2.3000,  27.3800
 -4.7000,   2.4000,  27.8500
 -4.7000,   2.5000,  28.3400
 -4.7000,   2.6000,  28.8500
 -4.7000,   2.7000,  29.3800
 -4.7000,   2.8000,  29.9300
 -4.7000,   2.9000,  30.5000
 -4.7000,   3.0000,  31.0900
 -4.7000,   3.1000,  31.7000
 -4.7000,   3.2000,  32.3300
 -4.7000,   3.3000,  32.9800
 -4.7000,   3.4000,  33.6500
 -4.7000,   3.5000,  34.3400
 -4.7000,   3.6000,  35.0500
 -4.7000,   3.7000,  35.7800
 -4.7000,   3.8000,  36.5300
 -4.7000,   3.9000,  37.3000
 -4.7000,   4.0000,  38.0900
 -4.7000,   4.1000,  38.9000
 -4.7000,   4.2000,  39.7300
 -4.7000,   4.3000,  40.5800
 -4.7000,   4.4000,  41.4500
 -4.7000,   4.5000,  42.3400
 -4.7000,   4.6000,  43.2500
 -4.7000,   4.7000,  44.1800
 -4.7000,   4.8000,  45.1300
 -4.7000,   4.9000,  46.1000
 -4.6000,  -5.0000,  46.1600
 -4.6000,  -4.9000,  45.1700
 -4.6000,  -4.8000,  44.2000
 -4.6000,  -4.7000,  43.2500
 -4.6000,  -4.6000,  42.3200
 -4.6000,  -4.5000,  41.4100
 -4.6000,  -4.4000,  40.5200
 -4.6000,  -4.3000,  39.6500
 -4.6000,  -4.2000,  38.8000
 -4.6000,  -4.1000,  37.9700
 -4.6000,  -4.0000,  37.1600
 -4.6000,  -3.9000,  36.3700
 -4.6000,  -3.8000,  35.6000
 -4.6000,  -3.7000,  34.8500
 -4.6000,  -3.6000,  34.1200
 -4.6000,  -3.5000,  33.4100
 -4.6000,  -3.4000,  32.7200
 -4.6000,  -3.3000,  32.0500
 -4.6000,  -3.2000,  31.4000
 -4.6000,  -3.1000,  30.7700
 -4.6000,  -3.0000,  30.1600
 -4.6000,  -2.9000,  29.5700
 -4.6000,  -2.8000,  29.0000
 -4.6000,  -2.7000,  28.4500
 -4.6000,  -2.6000,  27.9200
 -4.6000,  -2.5000,  27.4100
 -4.6000,  -2.4000,  26.9200
 -4.6000,  -2.3000,  26.4500
 -4.6000,  -2.2000,  26.0000
 -4.6000,  -2.1000,  25.5700
 -4.6000,  -2.0000,  25.1600
 -4.6000,  -1.9000,  24.7700
 -4.6000,  -1.8000,  24.4000
 -4.6000,  -1.7000,  24.0500
 -4.6000,  -1.6000,  23.7200
 -4.6000,  -1.5000,  23.4100
 -4.6000,  -1.4000,  23.1200
 -4.6000,  -1.3000,  22.8500
 -4.6000,  -1.2000,  22.6000
 -4.6000,  -1.1000,  22.3700
 -4.6000,  -1.0000,  22.1600
 -4.6000,  -0.9000,  21.9700
 -4.6000,  -0.8000,  21.8000
 -4.6000,  -0.7000,  21.6500
 -4.6000,  -0.6000,  21.5200
 -4.6000,  -0.5000,  21.4100
 -4.6000,  -0.4000,  21.3200
 -4.6000,  -0.3000,  21.2500
 -4.6000,  -0.2000,  21.2000
 -4.6000,  -0.1000,  21.1700
 -4.6000,   0.0000,  21.1600
 -4.6000,   0.1000,  21.1700
 -4.6000,   0.2000,  21.2000
 -4.6000,   0.3000,  21.2500
 -4.6000,   0.4000,  21.3200
 -4.6000,   0.5000,  21.4100
 -4.6000,   0.6000,  21.5200
 -4.6000,   0.7000,  21.6500
 -4.6000,   0.8000,  21.8000
 -4.6000,   0.9000,  21.9700
 -4.6000,   1.0000,  22.1600
 -4.6000,   1.1000,  22.3700
 -4.6000,   1.2000,  22.6000
 -4.6000,   1.3000,  22.8500
 -4.6000,   1.4000,  23.1200
 -4.6000,   1.5000,  23.4100
 -4.6000,   1.6000,  23.7200
 -4.6000,   1.7000,  24.0500
 -4.6000,   1.8000,  24.4000
 -4.6000,   1.9000,  24.7700
 -4.6000,   2.0000,  25.1600
 -4.6000,   2.1000,  25.5700
 -4.6000,   2.2000,  26.0000
 -4.6000,   2.3000,  26.4500
 -4.6000,   2.4000,  26.9200
 -4.6000,   2.5000,  27.4100
 -4.6000,   2.6000,  27.9200
 -4.6000,   2.7000,  28.4500
 -4.6000,   2.8000,  29.0000
 -4.6000,   2.9000,  29.5700
 -4.6000,   3.0000,  30.1600
 -4.6000,   3.1000,  30.7700
 -4.6000,   3.2000,  31.4000
 -4.6000,   3.3000,  32.0500
 -4.6000,   3.4000,  32.7200
 -4.6000,   3.5000,  33.4100
 -4.6000,   3.6000,  34.1200
 -4.6000,   3.7000,  34.8500
 -4.6000,   3.8000,  35.6000
 -4.6000,   3.9000,  36.3700
 -4.6000,   4.0000,  37.1600
 -4.6000,   4.1000,  37.9700
 -4.6000,   4.2000,  38.8000
 -4.6000,   4.3000,  39.6500
 -4.6000,   4.4000,  40.5200
 -4.6000,   4.5000,  41.4100
 -4.6000,   4.6000,  42.3200
 -4.6000,   4.7000,  43.2500
 -4.6000,   4.8000,  44.2000
 -4.6000,   4.9000,  45.1700
 -4.5000,  -5.0000,  45.2500
 -4.5000,  -4.9000,  44.2600
 -4.5000,  -4.8000,  43.2900
 -4.5000,  -4.7000,  42.3400
 -4.5000,  -4.6000,  41.4100
 -4.5000,  -4.5000,  40.5000
 -4.5000,  -4.4000,  39.6100
 -4.5000,  -4.3000,  38.7400
 -4.5000,  -4.2000,  37.8900
 -4.5000,  -4.1000,  37.0600
 -4.5000,  -4.0000,  36.2500
 -4.5000,  -3.9000,  35.4600
 -4.5000,  -3.8000,  34.6900
 -4.5000,  -3.7000,  33.9400
 -4.5000,  -3.6000,  33.2100
 -4.5000,  -3.5000,  32.5000
 -4.5000,  -3.4000,  31.8100
 -4.5000,  -3.3000,  31.1400
 -4.5000,  -3.2000,  30.4900
 -4.5000,  -3.1000,  29.8600
 -4.5000,  -3.0000,  29.2500
 -4.5000,  -2.9000,  28.6600
 -4.5000,  -2.8000,  28.0900
 -4.5000,  -2.7000,  27.5400
 -4.5000,  -2.6000,  27.0100
 -4.5000,  -2.5000,  26.5000
 -4.5000,  -2.4000,  26.0100
 -4.5000,  -2.3000,  25.5400
 -4.5000,  -2.2000,  25.0900
 -4.5000,  -2.1000,  24.6600
 -4.5000,  -2.0000,  24.2500
 -4.5000,  -1.9000,  23.8600
 -4.5000,  -1.8000,  23.4900
 -4.5000,  -1.7000,  23.1400
 -4.5000,  -1.6000,  22.8100
 -4.5000,  -1.5000,  22.5000
 -4.5000,  -1.4000,  22.2100
 -4.5000,  -1.3000,  21.9400
 -4.5000,  -1.2000,  21.6900
 -4.5000,  -1.1000,  21.4600
 -4.5000,  -1.0000,  21.2500
 -4.5000,  -0.9000,  21.0600
 -4.5000,  -0.8000,  20.8900
 -4.5000,  -0.7000,  20.7400
 -4.5000,  -0.6000,  20.6100
 -4.5000,  -0.5000,  20.5000
 -4.5000,  -0.4000,  20.4100
 -4.5000,  -0.3000,  20.3400
 -4.5000,  -0.2000,  20.2900
 -4.5000,  -0.1000,  20.2600
 -4.5000,   0.0000,  20.2500
 -4.5000,   0.1000,  20.2600
 -4.5000,   0.2000,  20.2900
 -4.5000,   0.3000,  20.3400
 -4.5000,   0.4000,  20.4100
 -4.5000,   0.5000,  20.5000
 -4.5000,   0.6000,  20.6100
 -4.5000,   0.7000,  20.7400
 -4.5000,   0.8000,  20.8900
 -4.5000,   0.9000,  21.0600
 -4.5000,   1.0000,  21.2500
 -4.5000,   1.1000,  21.4600
 -4.5000,   1.2000,  21.6900
 -4.5000,   1.3000,  21.9400
 -4.5000,   1.4000,  22.2100
 -4.5000,   1.5000,  22.5000
 -4.5000,   1.6000,  22.8100
 -4.5000,   1.7000,  23.1400
 -4.5000,   1.8000,  23.4900
 -4.5000,   1.9000,  23.8600
 -4.5000,   2.0000,  24.2500
 -4.5000,   2.1000,  24.6600
 -4.5000,   2.2000,  25.0900
 -4.5000,   2.3000,  25.5400
 -4.5000,   2.4000,  26.0100
 -4.5000,   2.5000,  26.5000
 -4.5000,   2.6000,  27.0100
 -4.5000,   2.7000,  27.5400
 -4.5000,   2.8000,  28.0900
 -4.5000,   2.9000,  28.6600
 -4.5000,   3.0000,  29.2500
 -4.5000,   3.1000,  29.8600
 -4.5000,   3.2000,  30.4900
 -4.5000,   3.3000,  31.1400
 -4.5000,   3.4000,  31.8100
 -4.5000,   3.5000,  32.5000
 -4.5000,   3.6000,  33.2100
 -4.5000,   3.7000,  33.9400
 -4.5000,   3.8000,  34.6900
 -4.5000,   3.9000,  35.4600
 -4.5000,   4.0000,  36.2500
 -4.5000,   4.1000,  37.0600
 -4.5000,   4.2000,  37.8900
 -4.5000,   4.3000,  38.7400
 -4.5000,   4.4000,  39.6100
 -4.5000,   4.5000,  40.5000
 -4.5000,   4.6000,  41.4100
 -4.5000,   4.7000,  42.3400
 -4.5000,   4.8000,  43.2900
 -4.5000,   4.9000,  44.2600
 -4.4000,  -5.0000,  44.3600
 -4.4000,  -4.9000,  43.3700
 -4.4000,  -4.8000,  42.4000
 -4.4000,  -4.7000,  41.4500
 -4.4000,  -4.6000,  40.5200
 -4.4000,  -4.5000,  39.6100
 -4.4000,  -4.4000,  38.7200
 -4.4000,  -4.3000,  37.8500
 -4.4000,  -4.2000,  37.0000
 -4.4000,  -4.1000,  36.1700
 -4.4000,  -4.0000,  35.3600
 -4.4000,  -3.9000,  34.5700
 -4.4000,  -3.8000,  33.8000
 -4.4000,  -3.7000,  33.0500
 -4.4000,  -3.6000,  32.3200
 -4.4000,  -3.5000,  31.6100
 -4.4000,  -3.4000,  30.9200
 -4.4000,  -3.3000,  30.2500
 -4.4000,  -3.2000,  29.6000
 -4.4000,  -3.1000,  28.9700
 -4.4000,  -3.0000,  28.3600
 -4.4000,  -2.9000,  27.7700
 -4.4000,  -2.8000,  27.2000
 -4.4000,  -2.7000,  26.6500
 -4.4000,  -2.6000,  26.1200
 -4.4000,  -2.5000,  25.6100
 -4.4000,  -2.4000,  25.1200
 -4.4000,  -2.3000,  24.6500
 -4.4000,  -2.2000,  24.2000
 -4.4000,  -2.1000,  23.7700
 -4.4000,  -2.0000,  23.3600
 -4.4000,  -1.9000,  22.9700
 -4.4000,  -1.8000,  22.6000
 -4.4000,  -1.7000,  22.2500
 -4.4000,  -1.6000,  21.9200
 -4.4000,  -1.5000,  21.6100
 -4.4000,  -1.4000,  21.3200
 -4.4000,  -1.3000,  21.0500
 -4.4000,  -1.2000,  20.8000
 -4.4000,  -1.1000,  20.5700
 -4.4000,  -1.0000,  20.3600
 -4.4000,  -0.9000,  20.1700
 -4.4000,  -0.8000,  20.0000
 -4.4000,  -0.7000,  19.8500
 -4.4000,  -0.6000,  19.7200
 -4.4000,  -0.5000,  19.6100
 -4.4000,  -0.4000,  19.5200
 -4.4000,  -0.3000,  19.4500
 -4.4000,  -0.2000,  19.4000
 -4.4000,  -0.1000,  19.3700
 -4.4000,   0.0000,  19.3600
 -4.4000,   0.1000,  19.3700
 -4.4000,   0.2000,  19.4000
 -4.4000,   0.3000,  19.4500
 -4.4000,   0.4000,  19.5200
 -4.4000,   0.5000,  19.6100
 -4.4000,   0.6000,  19.7200
 -4.4000,   0.7000,  19.8500
 -4.4000,   0.8000,  20.0000
 -4.4000,   0.9000,  20.1700
 -4.4000,   1.0000,  20.3600
 -4.4000,   1.1000,  20.5700
 -4.4000,   1.2000,  20.8000
 -4.4000,   1.3000,  21.0500
 -4.4000,   1.4000,  21.3200
 -4.4000,   1.5000,  21.6100
 -4.4000,   1.6000,  21.9200
 -4.4000,   1.7000,  22.2500
 -4.4000,   1.8000,  22.6000
 -4.4000,   1.9000,  22.9700
 -4.4000,   2.0000,  23.3600
 -4.4000,   2.1000,  23.7700
 -4.4000,   2.2000,  24.2000
 -4.4000,   2.3000,  24.6500
 -4.4000,   2.4000,  25.1200
 -4.4000,   2.5000,  25.6100
 -4.4000,   2.6000,  26.1200
 -4.4000,   2.7000,  26.6500
 -4.4000,   2.8000,  27.2000
 -4.4000,   2.9000,  27.7700
 -4.4000,   3.0000,  28.3600
 -4.4000,   3.1000,  28.9700
 -4.4000,   3.2000,  29.6000
 -4.4000,   3.3000,  30.2500
 -4.4000,   3.4000,  30.9200
 -4.4000,   3.5000,  31.6100
 -4.4000,   3.6000,  32.3200
 -4.4000,   3.7000,  33.0500
 -4.4000,   3.8000,  33.8000
 -4.4000,   3.9000,  34.5700
 -4.4000,   4.0000,  35.3600
 -4.4000,   4.1000,  36.1700
 -4.4000,   4.2000,  37.0000
 -4.4000,   4.3000,  37.8500
 -4.4000,   4.4000,  38.7200
 -4.4000,   4.5000,  39.6100
 -4.4000,   4.6000,  40.5200
 -4.4000,   4.7000,  41.4500
 -4.4000,   4.8000,  42.4000
 -4.4000,   4.9000,  43.3700
 -4.3000,  -5.0000,  43.4900
 -4.3000,  -4.9000,  42.5000
 -4.3000,  -4.8000,  41.5300
 -4.3000,  -4.7000,  40.5800
 -4.3000,  -4.6000,  39.6500
 -4.3000,  -4.5000,  38.7400
 -4.3000,  -4.4000,  37.8500
 -4.3000,  -4.3000,  36.9800
 -4.3000,  -4.2000,  36.1300
 -4.3000,  -4.1000,  35.3000
 -4.3000,  -4.0000,  34.4900
 -4.3000,  -3.9000,  33.7000
 -4.3000,  -3.8000,  32.9300
 -4.3000,  -3.7000,  32.1800
 -4.3000,  -3.6000,  31.4500
 -4.3000,  -3.5000,  30.7400
