item,heapify,push,peek,pop,remove_first_peek,remove_851,remove_2431,remove_4633,remove_5567,remove_7633,remove_4315,remove_4341,remove_7,remove_7079,remove_5703
18, 9992, 9992, 9981, 9981, 9980, 9992, 9992, 9992, 9992, 9992, 9992, 9992, 9992, 9992, 9992
9940, 9957, 9957, 9980, 9980, 9979, 9957, 9957, 9957, 9957, 9957, 9957, 9957, 9957, 9957, 9957
5164, 9958, 9958, 9979, 9979, 9978, 9958, 9958, 9958, 9958, 9958, 9958, 9958, 9958, 9958, 9958
21, 9969, 9969, 9978, 9978, 9977, 9969, 9969, 9969, 9969, 9969, 9969, 9969, 9969, 9969, 9969
4646, 9976, 9976, 9977, 9977, 9976, 9976, 9976, 9976, 9976, 9976, 9976, 9976, 9976, 9976, 9976
6495, 9949, 9949, 9976, 9976, 9975, 9949, 9949, 9949, 9949, 9949, 9949, 9949, 9949, 9949, 9949
7158, 9979, 9979, 9975, 9975, 9974, 9979, 9979, 9979, 9979, 9979, 9979, 9979, 9979, 9979, 9979
947, 9963, 9963, 9974, 9974, 9973, 9963, 9963, 9963, 9963, 9963, 9963, 9963, 9963, 9963, 9963
7229, 9934, 9934, 9973, 9973, 9972, 9934, 9934, 9934, 9934, 9934, 9934, 9934, 9934, 9934, 9934
3106, 9940, 9940, 9972, 9972, 9971, 9940, 9940, 9940, 9940, 9940, 9940, 9940, 9940, 9940, 9940
2452, 9974, 9974, 9971, 9971, 9970, 9974, 9974, 9974, 9974, 9974, 9974, 9974, 9974, 9974, 9974
1558, 9955, 9955, 9970, 9970, 9969, 9955, 9955, 9955, 9955, 9955, 9955, 9955, 9955, 9955, 9955
2773, 9914, 9914, 9969, 9969, 9968, 9914, 9914, 9914, 9914, 9914, 9914, 9914, 9914, 9914, 9914
7864, 9946, 9946, 9968, 9968, 9967, 9946, 9946, 9946, 9946, 9946, 9946, 9946, 9946, 9946, 9946
2875, 9962, 9962, 9967, 9967, 9966, 9962, 9962, 9962, 9962, 9962, 9962, 9962, 9962, 9962, 9962
7475, 9883, 9883, 9966, 9966, 9965, 9883, 9883, 9883, 9883, 9883, 9883, 9883, 9883, 9883, 9883
1400, 9972, 9972, 9965, 9965, 9964, 9972, 9972, 9972, 9972, 9972, 9972, 9972, 9972, 9972, 9972
8726, 9953, 9953, 9964, 9964, 9963, 9953, 9953, 9953, 9953, 9953, 9953, 9953, 9953, 9953, 9953
36, 9980, 9980, 9963, 9963, 9962, 9980, 9980, 9980, 9980, 9980, 9980, 9980, 9980, 9980, 9980
2752, 9973, 9973, 9962, 9962, 9961, 9973, 9973, 9973, 9973, 9973, 9973, 9973, 9973, 9973, 9973
7835, 9990, 9990, 9961, 9961, 9960, 9990, 9990, 9990, 9990, 9990, 9990, 9990, 9990, 9990, 9990
7710, 9859, 9859, 9960, 9960, 9959, 9859, 9859, 9859, 9859, 9859, 9859, 9859, 9859, 9859, 9859
6071, 9939, 9939, 9959, 9959, 9958, 9939, 9939, 9939, 9939, 9939, 9939, 9939, 9939, 9939, 9939
4310, 9928, 9928, 9958, 9958, 9957, 9928, 9928, 9928, 9928, 9928, 9928, 9928, 9928, 9928, 9928
2484, 9848, 9848, 9957, 9957, 9956, 9848, 9848, 9848, 9848, 9848, 9848, 9848, 9848, 9848, 9848
9409, 9924, 9924, 9956, 9956, 9955, 9924, 9924, 9924, 9924, 9924, 9924, 9924, 9924, 9924, 9924
6659, 9952, 9952, 9955, 9955, 9954, 9952, 9952, 9952, 9952, 9952, 9952, 9952, 9952, 9952, 9952
4014, 9919, 9919, 9954, 9954, 9953, 9919, 9919, 9919, 9919, 9919, 9919, 9919, 9919, 9919, 9919
46, 9929, 9929, 9953, 9953, 9952, 9929, 9929, 9929, 9929, 9929, 9929, 9929, 9929, 9929, 9929
2415, 9780, 9780, 9952, 9952, 9951, 9780, 9780, 9780, 9780, 9780, 9780, 9780, 9780, 9780, 9780
4774, 9838, 9838, 9951, 9951, 9950, 9838, 9838, 9838, 9838, 9838, 9838, 9838, 9838, 9838, 9838
49, 9902, 9902, 9950, 9950, 9949, 9902, 9902, 9902, 9902, 9902, 9902, 9902, 9902, 9902, 9902
757, 9978, 9978, 9949, 9949, 9948, 9978, 9978, 9978, 9978, 9978, 9978, 9978, 9978, 9978, 9978
5948, 9959, 9959, 9948, 9948, 9947, 9959, 9959, 9959, 9959, 9959, 9959, 9959, 9959, 9959, 9959
6983, 9922, 9922, 9947, 9947, 9946, 9922, 9922, 9922, 9922, 9922, 9922, 9922, 9922, 9922, 9922
53, 9933, 9933, 9946, 9946, 9945, 9933, 9933, 9933, 9933, 9933, 9933, 9933, 9933, 9933, 9933
649, 9926, 9926, 9945, 9945, 9944, 9926, 9926, 9926, 9926, 9926, 9926, 9926, 9926, 9926, 9926
2583, 9906, 9906, 9944, 9944, 9943, 9906, 9906, 9906, 9906, 9906, 9906, 9906, 9906, 9906, 9906
5999, 9899, 9899, 9943, 9943, 9942, 9899, 9899, 9899, 9899, 9899, 9899, 9899, 9899, 9899, 9899
57, 9894, 9894, 9942, 9942, 9941, 9894, 9894, 9894, 9894, 9894, 9894, 9894, 9894, 9894, 9894
4339, 9845, 9845, 9941, 9941, 9940, 9845, 9845, 9845, 9845, 9845, 9845, 9845, 9845, 9845, 9845
1710, 9951, 9951, 9940, 9940, 9939, 9951, 9951, 9951, 9951, 9951, 9951, 9951, 9951, 9951, 9951
9959, 9947, 9947, 9939, 9939, 9938, 9947, 9947, 9947, 9947, 9947, 9947, 9947, 9947, 9947, 9947
2963, 9907, 9907, 9938, 9938, 9937, 9907, 9907, 9907, 9907, 9907, 9907, 9907, 9907, 9907, 9907
62, 9871, 9871, 9937, 9937, 9936, 9871, 9871, 9871, 9871, 9871, 9871, 9871, 9871, 9871, 9871
2637, 9942, 9942, 9936, 9936, 9935, 9942, 9942, 9942, 9942, 9942, 9942, 9942, 9942, 9942, 9942
9068, 9936, 9936, 9935, 9935, 9934, 9936, 9936, 9936, 9936, 9936, 9936, 9936, 9936, 9936, 9936
5892, 9927, 9927, 9934, 9934, 9933, 9927, 9927, 9927, 9927, 9927, 9927, 9927, 9927, 9927, 9927
4935, 9954, 9954, 9933, 9933, 9932, 9954, 9954, 9954, 9954, 9954, 9954, 9954, 9954, 9954, 9954
6800, 9880, 9880, 9932, 9932, 9931, 9880, 9880, 9880, 9880, 9880, 9880, 9880, 9880, 9880, 9880
7778, 9834, 9834, 9931, 9931, 9930, 9834, 9834, 9834, 9834, 9834, 9834, 9834, 9834, 9834, 9834
2380, 9645, 9645, 9930, 9930, 9929, 9645, 9645, 9645, 9645, 9645, 9645, 9645, 9645, 9645, 9645
5862, 9740, 9740, 9929, 9929, 9928, 9740, 9740, 9740, 9740, 9740, 9740, 9740, 9740, 9740, 9740
7081, 9925, 9925, 9928, 9928, 9927, 9925, 9925, 9925, 9925, 9925, 9925, 9925, 9925, 9925, 9925
1383, 9889, 9889, 9927, 9927, 9926, 9889, 9889, 9889, 9889, 9889, 9889, 9889, 9889, 9889, 9889
4757, 9977, 9977, 9926, 9926, 9925, 9977, 9977, 9977, 9977, 9977, 9977, 9977, 9977, 9977, 9977
6649, 9941, 9941, 9925, 9925, 9924, 9941, 9941, 9941, 9941, 9941, 9941, 9941, 9941, 9941, 9941
75, 9911, 9911, 9924, 9924, 9923, 9911, 9911, 9911, 9911, 9911, 9911, 9911, 9911, 9911, 9911
1409, 9970, 9970, 9923, 9923, 9922, 9970, 9970, 9970, 9970, 9970, 9970, 9970, 9970, 9970, 9970
9649, 9989, 9989, 9922, 9922, 9921, 9989, 9989, 9989, 9989, 9989, 9989, 9989, 9989, 9989, 9989
78, 9971, 9971, 9921, 9921, 9920, 9971, 9971, 9971, 9971, 9971, 9971, 9971, 9971, 9971, 9971
7575, 9789, 9789, 9920, 9920, 9919, 9789, 9789, 9789, 9789, 9789, 9789, 9789, 9789, 9789, 9789
9403, 9855, 9855, 9919, 9919, 9918, 9855, 9855, 9855, 9855, 9855, 9855, 9855, 9855, 9855, 9855
3128, 9681, 9681, 9918, 9918, 9917, 9681, 9681, 9681, 9681, 9681, 9681, 9681, 9681, 9681, 9681
82, 9930, 9930, 9917, 9917, 9916, 9930, 9930, 9930, 9930, 9930, 9930, 9930, 9930, 9930, 9930
9719, 9800, 9800, 9916, 9916, 9915, 9800, 9800, 9800, 9800, 9800, 9800, 9800, 9800, 9800, 9800
5448, 9886, 9886, 9915, 9915, 9914, 9886, 9886, 9886, 9886, 9886, 9886, 9886, 9886, 9886, 9886
4717, 9639, 9639, 9914, 9914, 9913, 9639, 9639, 9639, 9639, 9639, 9639, 9639, 9639, 9639, 9639
711, 9778, 9778, 9913, 9913, 9912, 9778, 9778, 9778, 9778, 9778, 9778, 9778, 9778, 9778, 9778
2623, 9910, 9910, 9912, 9912, 9911, 9910, 9910, 9910, 9910, 9910, 9910, 9910, 9910, 9910, 9910
88, 9916, 9916, 9911, 9911, 9910, 9916, 9916, 9916, 9916, 9916, 9916, 9916, 9916, 9916, 9916
89, 9887, 9887, 9910, 9910, 9909, 9887, 9887, 9887, 9887, 9887, 9887, 9887, 9887, 9887, 9887
1419, 9810, 9810, 9909, 9909, 9908, 9810, 9810, 9810, 9810, 9810, 9810, 9810, 9810, 9810, 9810
6717, 9709, 9709, 9908, 9908, 9907, 9709, 9709, 9709, 9709, 9709, 9709, 9709, 9709, 9709, 9709
2336, 9915, 9915, 9907, 9907, 9906, 9915, 9915, 9915, 9915, 9915, 9915, 9915, 9915, 9915, 9915
4488, 9869, 9869, 9906, 9906, 9905, 9869, 9869, 9869, 9869, 9869, 9869, 9869, 9869, 9869, 9869
5966, 9920, 9920, 9905, 9905, 9904, 9920, 9920, 9920, 9920, 9920, 9920, 9920, 9920, 9920, 9920
5196, 9728, 9728, 9904, 9904, 9903, 9728, 9728, 9728, 9728, 9728, 9728, 9728, 9728, 9728, 9728
6430, 9768, 9768, 9903, 9903, 9902, 9768, 9768, 9768, 9768, 9768, 9768, 9768, 9768, 9768, 9768
3572, 9818, 9818, 9902, 9902, 9901, 9818, 9818, 9818, 9818, 9818, 9818, 9818, 9818, 9818, 9818
9700, 9752, 9752, 9901, 9901, 9900, 9752, 9752, 9752, 9752, 9752, 9752, 9752, 9752, 9752, 9752
6326, 9696, 9696, 9900, 9900, 9899, 9696, 9696, 9696, 9696, 9696, 9696, 9696, 9696, 9696, 9696
9793, 9877, 9877, 9899, 9899, 9898, 9877, 9877, 9877, 9877, 9877, 9877, 9877, 9877, 9877, 9877
9511, 9938, 9938, 9898, 9898, 9897, 9938, 9938, 9938, 9938, 9938, 9938, 9938, 9938, 9938, 9938
5286, 9961, 9961, 9897, 9897, 9896, 9961, 9961, 9961, 9961, 9961, 9961, 9961, 9961, 9961, 9961
1097, 9741, 9741, 9896, 9896, 9895, 9741, 9741, 9741, 9741, 9741, 9741, 9741, 9741, 9741, 9741
104, 9842, 9842, 9895, 9895, 9894, 9842, 9842, 9842, 9842, 9842, 9842, 9842, 9842, 9842, 9842
9040, 9909, 9909, 9894, 9894, 9893, 9909, 9909, 9909, 9909, 9909, 9909, 9909, 9909, 9909, 9909
106, 9891, 9891, 9893, 9893, 9892, 9891, 9891, 9891, 9891, 9891, 9891, 9891, 9891, 9891, 9891
107, 9828, 9828, 9892, 9892, 9891, 9828, 9828, 9828, 9828, 9828, 9828, 9828, 9828, 9828, 9828
3605, 9912, 9912, 9891, 9891, 9890, 9912, 9912, 9912, 9912, 9912, 9912, 9912, 9912, 9912, 9912
548, 9811, 9811, 9890, 9890, 9889, 9811, 9811, 9811, 9811, 9811, 9811, 9811, 9811, 9811, 9811
8169, 9797, 9797, 9889, 9889, 9888, 9797, 9797, 9797, 9797, 9797, 9797, 9797, 9797, 9797, 9797
4988, 9905, 9905, 9888, 9888, 9887, 9905, 9905, 9905, 9905, 9905, 9905, 9905, 9905, 9905, 9905
1116, 9898, 9898, 9887, 9887, 9886, 9898, 9898, 9898, 9898, 9898, 9898, 9898, 9898, 9898, 9898
3801, 9865, 9865, 9886, 9886, 9885, 9865, 9865, 9865, 9865, 9865, 9865, 9865, 9865, 9865, 9865
114, 9895, 9895, 9885, 9885, 9884, 9895, 9895, 9895, 9895, 9895, 9895, 9895, 9895, 9895, 9895
3346, 9721, 9721, 9884, 9884, 9883, 9721, 9721, 9721, 9721, 9721, 9721, 9721, 9721, 9721, 9721
5601, 9866, 9866, 9883, 9883, 9882, 9866, 9866, 9866, 9866, 9866, 9866, 9866, 9866, 9866, 9866
6416, 9684, 9684, 9882, 9882, 9881, 9684, 9684, 9684, 9684, 9684, 9684, 9684, 9684, 9684, 9684
8094, 9703, 9703, 9881, 9881, 9880, 9703, 9703, 9703, 9703, 9703, 9703, 9703, 9703, 9703, 9703
8781, 9913, 9913, 9880, 9880, 9879, 9913, 9913, 9913, 9913, 9913, 9913, 9913, 9913, 9913, 9913
5783, 9932, 9932, 9879, 9879, 9878, 9932, 9932, 9932, 9932, 9932, 9932, 9932, 9932, 9932, 9932
6971, 9921, 9921, 9878, 9878, 9877, 9921, 9921, 9921, 9921, 9921, 9921, 9921, 9921, 9921, 9921
1977, 9943, 9943, 9877, 9877, 9876, 9943, 9943, 9943, 9943, 9943, 9943, 9943, 9943, 9943, 9943
3281, 9640, 9640, 9876, 9876, 9875, 9640, 9640, 9640, 9640, 9640, 9640, 9640, 9640, 9640, 9640
124, 9864, 9864, 9875, 9875, 9874, 9864, 9864, 9864, 9864, 9864, 9864, 9864, 9864, 9864, 9864
7009, 9657, 9657, 9874, 9874, 9873, 9657, 9657, 9657, 9657, 9657, 9657, 9657, 9657, 9657, 9657
3368, 9809, 9809, 9873, 9873, 9872, 9809, 9809, 9809, 9809, 9809, 9809, 9809, 9809, 9809, 9809
6336, 9807, 9807, 9872, 9872, 9871, 9807, 9807, 9807, 9807, 9807, 9807, 9807, 9807, 9807, 9807
288, 9824, 9824, 9871, 9871, 9870, 9824, 9824, 9824, 9824, 9824, 9824, 9824, 9824, 9824, 9824
129, 9923, 9923, 9870, 9870, 9869, 9923, 9923, 9923, 9923, 9923, 9923, 9923, 9923, 9923, 9923
3150, 9901, 9901, 9869, 9869, 9868, 9901, 9901, 9901, 9901, 9901, 9901, 9901, 9901, 9901, 9901
3684, 9896, 9896, 9868, 9868, 9867, 9896, 9896, 9896, 9896, 9896, 9896, 9896, 9896, 9896, 9896
2941, 9788, 9788, 9867, 9867, 9866, 9788, 9788, 9788, 9788, 9788, 9788, 9788, 9788, 9788, 9788
3661, 9937, 9937, 9866, 9866, 9865, 9937, 9937, 9937, 9937, 9937, 9937, 9937, 9937, 9937, 9937
2498, 9870, 9870, 9865, 9865, 9864, 9870, 9870, 9870, 9870, 9870, 9870, 9870, 9870, 9870, 9870
135, 9836, 9836, 9864, 9864, 9863, 9836, 9836, 9836, 9836, 9836, 9836, 9836, 9836, 9836, 9836
6545, 9830, 9830, 9863, 9863, 9862, 9830, 9830, 9830, 9830, 9830, 9830, 9830, 9830, 9830, 9830
137, 9808, 9808, 9862, 9862, 9861, 9808, 9808, 9808, 9808, 9808, 9808, 9808, 9808, 9808, 9808
8772, 9698, 9698, 9861, 9861, 9860, 9698, 9698, 9698, 9698, 9698, 9698, 9698, 9698, 9698, 9698
2198, 9581, 9581, 9860, 9860, 9859, 9581, 9581, 9581, 9581, 9581, 9581, 9581, 9581, 9581, 9581
7179, 9501, 9501, 9859, 9859, 9858, 9501, 9501, 9501, 9501, 9501, 9501, 9501, 9501, 9501, 9501
5715, 9682, 9682, 9858, 9858, 9857, 9682, 9682, 9682, 9682, 9682, 9682, 9682, 9682, 9682, 9682
3853, 9673, 9673, 9857, 9857, 9856, 9673, 9673, 9673, 9673, 9673, 9673, 9673, 9673, 9673, 9673
143, 9892, 9892, 9856, 9856, 9855, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 9892, 9892
2643, 9917, 9917, 9855, 9855, 9854, 9917, 9917, 9917, 9917, 9917, 9917, 9917, 9917, 9917, 9917
6532, 9499, 9499, 9854, 9854, 9853, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499, 9499
941, 9735, 9735, 9853, 9853, 9852, 9735, 9735, 9735, 9735, 9735, 9735, 9735, 9735, 9735, 9735
8339, 9850, 9850, 9852, 9852, 9851, 9850, 9850, 9850, 9850, 9850, 9850, 9850, 9850, 9850, 9850
3054, 9879, 9879, 9851, 9851, 9850, 9879, 9879, 9879, 9879, 9879, 9879, 9879, 9879, 9879, 9879
149, 9674, 9674, 9850, 9850, 9849, 9674, 9674, 9674, 9674, 9674, 9674, 9674, 9674, 9674, 9674
238, 9841, 9841, 9849, 9849, 9848, 9841, 9841, 9841, 9841, 9841, 9841, 9841, 9841, 9841, 9841
6042, 9873, 9873, 9848, 9848, 9847, 9873, 9873, 9873, 9873, 9873, 9873, 9873, 9873, 9873, 9873
8213, 9908, 9908, 9847, 9847, 9846, 9908, 9908, 9908, 9908, 9908, 9908, 9908, 9908, 9908, 9908
5902, 9904, 9904, 9846, 9846, 9845, 9904, 9904, 9904, 9904, 9904, 9904, 9904, 9904, 9904, 9904
2082, 9968, 9968, 9845, 9845, 9844, 9968, 9968, 9968, 9968, 9968, 9968, 9968, 9968, 9968, 9968
401, 9986, 9986, 9844, 9844, 9843, 9986, 9986, 9986, 9986, 9986, 9986, 9986, 9986, 9986, 9986
3482, 9935, 9935, 9843, 9843, 9842, 9935, 9935, 9935, 9935, 9935, 9935, 9935, 9935, 9935, 9935
1147, 9701, 9701, 9842, 9842, 9841, 9701, 9701, 9701, 9701, 9701, 9701, 9701, 9701, 9701, 9701
478, 9965, 9965, 9841, 9841, 9840, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965, 9965
6791, 9445, 9445, 9840, 9840, 9839, 9445, 9445, 9445, 9445, 9445, 9445, 9445, 9445, 9445, 9445
2374, 9759, 9759, 9839, 9839, 9838, 9759, 9759, 9759, 9759, 9759, 9759, 9759, 9759, 9759, 9759
7833, 9686, 9686, 9838, 9838, 9837, 9686, 9686, 9686, 9686, 9686, 9686, 9686, 9686, 9686, 9686
3867, 9628, 9628, 9837, 9837, 9836, 9628, 9628, 9628, 9628, 9628, 9628, 9628, 9628, 9628, 9628
991, 9362, 9362, 9836, 9836, 9835, 9362, 9362, 9362, 9362, 9362, 9362, 9362, 9362, 9362, 9362
164, 9515, 9515, 9835, 9835, 9834, 9515, 9515, 9515, 9515, 9515, 9515, 9515, 9515, 9515, 9515
1473, 9772, 9772, 9834, 9834, 9833, 9772, 9772, 9772, 9772, 9772, 9772, 9772, 9772, 9772, 9772
617, 9825, 9825, 9833, 9833, 9832, 9825, 9825, 9825, 9825, 9825, 9825, 9825, 9825, 9825, 9825
2557, 9574, 9574, 9832, 9832, 9831, 9574, 9574, 9574, 9574, 9574, 9574, 9574, 9574, 9574, 9574
168, 9736, 9736, 9831, 9831, 9830, 9736, 9736, 9736, 9736, 9736, 9736, 9736, 9736, 9736, 9736
9680, 9849, 9849, 9830, 9830, 9829, 9849, 9849, 9849, 9849, 9849, 9849, 9849, 9849, 9849, 9849
4395, 9868, 9868, 9829, 9829, 9828, 9868, 9868, 9868, 9868, 9868, 9868, 9868, 9868, 9868, 9868
6787, 9514, 9514, 9828, 9828, 9827, 9514, 9514, 9514, 9514, 9514, 9514, 9514, 9514, 9514, 9514
1488, 9609, 9609, 9827, 9827, 9826, 9609, 9609, 9609, 9609, 9609, 9609, 9609, 9609, 9609, 9609
2804, 9573, 9573, 9826, 9826, 9825, 9573, 9573, 9573, 9573, 9573, 9573, 9573, 9573, 9573, 9573
174, 9642, 9642, 9825, 9825, 9824, 9642, 9642, 9642, 9642, 9642, 9642, 9642, 9642, 9642, 9642
3654, 9831, 9831, 9824, 9824, 9823, 9831, 9831, 9831, 9831, 9831, 9831, 9831, 9831, 9831, 9831
176, 9858, 9858, 9823, 9823, 9822, 9858, 9858, 9858, 9858, 9858, 9858, 9858, 9858, 9858, 9858
177, 9742, 9742, 9822, 9822, 9821, 9742, 9742, 9742, 9742, 9742, 9742, 9742, 9742, 9742, 9742
9528, 9521, 9521, 9821, 9821, 9820, 9521, 9521, 9521, 9521, 9521, 9521, 9521, 9521, 9521, 9521
6597, 9785, 9785, 9820, 9820, 9819, 9785, 9785, 9785, 9785, 9785, 9785, 9785, 9785, 9785, 9785
6499, 9812, 9812, 9819, 9819, 9818, 9812, 9812, 9812, 9812, 9812, 9812, 9812, 9812, 9812, 9812
9005, 9169, 9169, 9818, 9818, 9817, 9169, 9169, 9169, 9169, 9169, 9169, 9169, 9169, 9169, 9169
9839, 9485, 9485, 9817, 9817, 9816, 9485, 9485, 9485, 9485, 9485, 9485, 9485, 9485, 9485, 9485
4476, 9659, 9659, 9816, 9816, 9815, 9659, 9659, 9659, 9659, 9659, 9659, 9659, 9659, 9659, 9659
4084, 9667, 9667, 9815, 9815, 9814, 9667, 9667, 9667, 9667, 9667, 9667, 9667, 9667, 9667, 9667
8866, 9764, 9764, 9814, 9814, 9813, 9764, 9764, 9764, 9764, 9764, 9764, 9764, 9764, 9764, 9764
7512, 9872, 9872, 9813, 9813, 9812, 9872, 9872, 9872, 9872, 9872, 9872, 9872, 9872, 9872, 9872
187, 9689, 9689, 9812, 9812, 9811, 9689, 9689, 9689, 9689, 9689, 9689, 9689, 9689, 9689, 9689
7806, 9861, 9861, 9811, 9811, 9810, 9861, 9861, 9861, 9861, 9861, 9861, 9861, 9861, 9861, 9861
5904, 9903, 9903, 9810, 9810, 9809, 9903, 9903, 9903, 9903, 9903, 9903, 9903, 9903, 9903, 9903
3236, 9688, 9688, 9809, 9809, 9808, 9688, 9688, 9688, 9688, 9688, 9688, 9688, 9688, 9688, 9688
2183, 9700, 9700, 9808, 9808, 9807, 9700, 9700, 9700, 9700, 9700, 9700, 9700, 9700, 9700, 9700
192, 9629, 9629, 9807, 9807, 9806, 9629, 9629, 9629, 9629, 9629, 9629, 9629, 9629, 9629, 9629
8633, 9413, 9413, 9806, 9806, 9805, 9413, 9413, 9413, 9413, 9413, 9413, 9413, 9413, 9413, 9413
644, 9608, 9608, 9805, 9805, 9804, 9608, 9608, 9608, 9608, 9608, 9608, 9608, 9608, 9608, 9608
9593, 9647, 9647, 9804, 9804, 9803, 9647, 9647, 9647, 9647, 9647, 9647, 9647, 9647, 9647, 9647
5320, 9801, 9801, 9803, 9803, 9802, 9801, 9801, 9801, 9801, 9801, 9801, 9801, 9801, 9801, 9801
2842, 9589, 9589, 9802, 9802, 9801, 9589, 9589, 9589, 9589, 9589, 9589, 9589, 9589, 9589, 9589
7734, 9705, 9705, 9801, 9801, 9800, 9705, 9705, 9705, 9705, 9705, 9705, 9705, 9705, 9705, 9705
2134, 9678, 9678, 9800, 9800, 9799, 9678, 9678, 9678, 9678, 9678, 9678, 9678, 9678, 9678, 9678
6758, 9638, 9638, 9799, 9799, 9798, 9638, 9638, 9638, 9638, 9638, 9638, 9638, 9638, 9638, 9638
1957, 9822, 9822, 9798, 9798, 9797, 9822, 9822, 9822, 9822, 9822, 9822, 9822, 9822, 9822, 9822
4366, 9823, 9823, 9797, 9797, 9796, 9823, 9823, 9823, 9823, 9823, 9823, 9823, 9823, 9823, 9823
7183, 9795, 9795, 9796, 9796, 9795, 9795, 9795, 9795, 9795, 9795, 9795, 9795, 9795, 9795, 9795
3918, 9790, 9790, 9795, 9795, 9794, 9790, 9790, 9790, 9790, 9790, 9790, 9790, 9790, 9790, 9790
3838, 9738, 9738, 9794, 9794, 9793, 9738, 9738, 9738, 9738, 9738, 9738, 9738, 9738, 9738, 9738
8053, 9770, 9770, 9793, 9793, 9792, 9770, 9770, 9770, 9770, 9770, 9770, 9770, 9770, 9770, 9770
547, 9654, 9654, 9792, 9792, 9791, 9654, 9654, 9654, 9654, 9654, 9654, 9654, 9654, 9654, 9654
208, 9625, 9625, 9791, 9791, 9790, 9625, 9625, 9625, 9625, 9625, 9625, 9625, 9625, 9625, 9625
8933, 9803, 9803, 9790, 9790, 9789, 9803, 9803, 9803, 9803, 9803, 9803, 9803, 9803, 9803, 9803
3065, 9552, 9552, 9789, 9789, 9788, 9552, 9552, 9552, 9552, 9552, 9552, 9552, 9552, 9552, 9552
211, 9793, 9793, 9788, 9788, 9787, 9793, 9793, 9793, 9793, 9793, 9793, 9793, 9793, 9793, 9793
212, 9556, 9556, 9787, 9787, 9786, 9556, 9556, 9556, 9556, 9556, 9556, 9556, 9556, 9556, 9556
4849, 9753, 9753, 9786, 9786, 9785, 9753, 9753, 9753, 9753, 9753, 9753, 9753, 9753, 9753, 9753
214, 9414, 9414, 9785, 9785, 9784, 9414, 9414, 9414, 9414, 9414, 9414, 9414, 9414, 9414, 9414
5020, 9693, 9693, 9784, 9784, 9783, 9693, 9693, 9693, 9693, 9693, 9693, 9693, 9693, 9693, 9693
151, 9731, 9731, 9783, 9783, 9782, 9731, 9731, 9731, 9731, 9731, 9731, 9731, 9731, 9731, 9731
3399, 9262, 9262, 9782, 9782, 9781, 9262, 9262, 9262, 9262, 9262, 9262, 9262, 9262, 9262, 9262
452, 9843, 9843, 9781, 9781, 9780, 9843, 9843, 9843, 9843, 9843, 9843, 9843, 9843, 9843, 9843
6807, 9368, 9368, 9780, 9780, 9779, 9368, 9368, 9368, 9368, 9368, 9368, 9368, 9368, 9368, 9368
