item,heapify,push,peek,pop,remove_first_peek,remove_44,remove_1,remove_36,remove_20,remove_4,remove_6,remove_16,remove_39,remove_14,remove_9,remove_30,remove_12,remove_33,remove_24,remove_7
21, 5, 5, 25, 25, 24, 12, 5, 12, 5, 5, 5, 5, 12, 5, 5, 12, 5, 12, 12, 5
16, 12, 12, 24, 24, 23, 16, 12, 16, 12, 12, 12, 12, 16, 12, 12, 16, 16, 16, 16, 12
31, 16, 16, 23, 23, 22, 6, 16, 6, 16, 16, 16, 6, 6, 16, 16, 6, 6, 6, 6, 16
36, 6, 6, 22, 22, 21, 27, 6, 27, 6, 6, 27, 27, 27, 6, 6, 27, 27, 27, 27, 6
28, 27, 27, 21, 21, 20, 14, 27, 14, 27, 27, 14, 14, 14, 27, 27, 14, 14, 14, 14, 27
26, 14, 14, 20, 20, 19, 26, 14, 26, 14, 14, 26, 26, 26, 26, 14, 26, 26, 26, 26, 14
30, 26, 26, 19, 19, 18, 3, 26, 3, 26, 26, 3, 3, 3, 3, 26, 3, 3, 3, 3, 26
34, 3, 3, 18, 18, 17, 23, 3, 23, 3, 3, 23, 23, 23, 23, 3, 23, 23, 23, 23, 3
23, 23, 23, 17, 17, 16, 7, 23, 7, 23, 23, 7, 7, 7, 7, 23, 7, 7, 7, 7, 23
42, 7, 7, 16, 16, 15, 10, 7, 10, 7, 7, 10, 10, 10, 10, 7, 10, 10, 10, 10, 10
10, 10, 10, 15, 15, 14, 11, 10, 11, 10, 10, 11, 11, 11, 11, 10, 11, 11, 11, 11, 11
49, 11, 11, 14, 14, 13, 35, 11, 35, 11, 11, 35, 35, 35, 35, 11, 35, 35, 35, 35, 35
48, 35, 35, 13, 13, 12, 18, 35, 18, 35, 35, 18, 18, 18, 18, 35, 18, 18, 18, 18, 18
38, 18, 18, 12, 12, 11, 2, 18, 2, 18, 18, 2, 2, 2, 2, 18, 2, 2, 2, 2, 2
2, 2, 2, 11, 11, 10, 15, 2, 15, 2, 2, 15, 15, 15, 15, 2, 15, 15, 15, 15, 15
39, 15, 15, 10, 10, 9, 20, 15, 20, 15, 15, 20, 20, 20, 20, 15, 20, 20, 20, 20, 20
20, 20, 20, 9, 9, 8, 17, 20, 17, 17, 20, 17, 17, 17, 17, 20, 17, 17, 17, 17, 17
17, 17, 17, 8, 8, 7, 1, 17, 1, 1, 17, 1, 1, 1, 1, 17, 1, 1, 1, 1, 1
1, 1, 1, 7, 7, 6, 8, 8, 8, 8, 1, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8
8, 8, 8, 6, 6, 5, 9, 9, 9, 9, 8, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9
9, 9, 9, 5, 5, 4, 22, 19, 22, 19, 9, 19, 19, 22, 19, 19, 22, 19, 22, 22, 19
46, 22, 22, 4, 4, 3, 31, 32, 31, 32, 22, 32, 32, 31, 32, 32, 31, 32, 31, 31, 32
45, 32, 32, 3, 3, 2, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
47, 0, 0, 2, 2, 1, 5, 13, 5, 13, 0, 13, 13, 5, 13, 13, 5, 13, 5, 5, 13
44, 13, 13, 1, 1, 0, 4, 4, 4, 4, 13, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
4, 4, 4, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
